goods_code	supplementary_unit	description
44072710	MTQ	cubic meter
44072791	MTQ	cubic meter
44072799	MTQ	cubic meter
44072810	MTQ	cubic meter
44072891	MTQ	cubic meter
44072899	MTQ	cubic meter
44072915	MTQ	cubic meter
44072920	MTQ	cubic meter
44072983	MTQ	cubic meter
44072985	MTQ	cubic meter
44072995	MTQ	cubic meter
44072996	MTQ	cubic meter
44072997	MTQ	cubic meter
44072998	MTQ	cubic meter
44079115	MTQ	cubic meter
44079131	MTK	square meter
44079139	MTQ	cubic meter
44079190	MTQ	cubic meter
44079200	MTQ	cubic meter
44079310	MTQ	cubic meter
44079391	MTQ	cubic meter
44079399	MTQ	cubic meter
44079410	MTQ	cubic meter
44079491	MTQ	cubic meter
44079499	MTQ	cubic meter
44079510	MTQ	cubic meter
44079591	MTQ	cubic meter
44079599	MTQ	cubic meter
44079610	MTQ	cubic meter
44079691	MTQ	cubic meter
44079699	MTQ	cubic meter
44079710	MTQ	cubic meter
44079791	MTQ	cubic meter
44079799	MTQ	cubic meter
44079927	MTQ	cubic meter
44079940	MTQ	cubic meter
44079990	MTQ	cubic meter
44081015	MTQ	cubic meter
44081091	MTQ	cubic meter
44081098	MTQ	cubic meter
44083111	MTQ	cubic meter
44083121	MTQ	cubic meter
44083125	MTQ	cubic meter
44083130	MTQ	cubic meter
44083915	MTQ	cubic meter
44083921	MTQ	cubic meter
44083930	MTQ	cubic meter
44083955	MTQ	cubic meter
44083970	MTQ	cubic meter
44083985	MTQ	cubic meter
44083995	MTQ	cubic meter
44089015	MTQ	cubic meter
44089035	MTQ	cubic meter
44089085	MTQ	cubic meter
44089095	MTQ	cubic meter
44091011	MTR	meter
44092910	MTR	meter
44092991	MTK	square meter
44101110	MTQ	cubic meter
44101130	MTQ	cubic meter
44101150	MTQ	cubic meter
44101190	MTQ	cubic meter
44101210	MTQ	cubic meter
44101290	MTQ	cubic meter
44101900	MTQ	cubic meter
44109000	MTQ	cubic meter
44111210	MTQ	cubic meter
44111290	MTQ	cubic meter
44111310	MTQ	cubic meter
44111390	MTQ	cubic meter
44111410	MTQ	cubic meter
44111490	MTQ	cubic meter
44119210	MTQ	cubic meter
44119290	MTQ	cubic meter
44119310	MTQ	cubic meter
44119390	MTQ	cubic meter
44119410	MTQ	cubic meter
44119490	MTQ	cubic meter
44121000	MTQ	cubic meter
44123110	MTQ	cubic meter
44123190	MTQ	cubic meter
44123300	MTQ	cubic meter
44123400	MTQ	cubic meter
44123900	MTQ	cubic meter
44129410	MTQ	cubic meter
44129490	MTQ	cubic meter
44129930	MTQ	cubic meter
44129940	MTQ	cubic meter
44129950	MTQ	cubic meter
44129985	MTQ	cubic meter
44130000	MTQ	cubic meter
44152020	NAR	number of items
44181010	NAR	number of items
44181050	NAR	number of items
44181090	NAR	number of items
44182010	NAR	number of items
44182050	NAR	number of items
44182080	NAR	number of items
44187310	MTK	square meter
44187390	MTK	square meter
44187400	MTK	square meter
44187500	MTK	square meter
44187900	MTK	square meter
44209010	MTQ	cubic meter
44211000	NAR	number of items
44219991	NAR	number of items
47010010	KSD	kilogram of substance 90 % dry
47010090	KSD	kilogram of substance 90 % dry
47020000	KSD	kilogram of substance 90 % dry
47031100	KSD	kilogram of substance 90 % dry
47031900	KSD	kilogram of substance 90 % dry
47032100	KSD	kilogram of substance 90 % dry
47032900	KSD	kilogram of substance 90 % dry
47041100	KSD	kilogram of substance 90 % dry
47041900	KSD	kilogram of substance 90 % dry
47042100	KSD	kilogram of substance 90 % dry
47042900	KSD	kilogram of substance 90 % dry
47050000	KSD	kilogram of substance 90 % dry
47062000	KSD	kilogram of substance 90 % dry
47063000	KSD	kilogram of substance 90 % dry
47069100	KSD	kilogram of substance 90 % dry
47069200	KSD	kilogram of substance 90 % dry
47069300	KSD	kilogram of substance 90 % dry
50071000	MTK	square meter
50072011	MTK	square meter
50072019	MTK	square meter
50072021	MTK	square meter
50072031	MTK	square meter
50072039	MTK	square meter
50072041	MTK	square meter
50072051	MTK	square meter
50072059	MTK	square meter
50072061	MTK	square meter
50072069	MTK	square meter
50072071	MTK	square meter
50079010	MTK	square meter
50079030	MTK	square meter
50079050	MTK	square meter
50079090	MTK	square meter
51111100	MTK	square meter
51111900	MTK	square meter
51112000	MTK	square meter
51113010	MTK	square meter
51113080	MTK	square meter
51119010	MTK	square meter
51119091	MTK	square meter
51119098	MTK	square meter
51121100	MTK	square meter
51121900	MTK	square meter
51122000	MTK	square meter
51123010	MTK	square meter
51123080	MTK	square meter
51129010	MTK	square meter
51129091	MTK	square meter
51129098	MTK	square meter
51130000	MTK	square meter
52081110	MTK	square meter
52081190	MTK	square meter
52081216	MTK	square meter
52081219	MTK	square meter
52081296	MTK	square meter
52081299	MTK	square meter
52081300	MTK	square meter
52081900	MTK	square meter
52082110	MTK	square meter
52082190	MTK	square meter
52082216	MTK	square meter
52082219	MTK	square meter
52082296	MTK	square meter
52082299	MTK	square meter
52082300	MTK	square meter
52082900	MTK	square meter
52083100	MTK	square meter
52083216	MTK	square meter
52083219	MTK	square meter
52083296	MTK	square meter
52083299	MTK	square meter
52083300	MTK	square meter
52083900	MTK	square meter
52084100	MTK	square meter
52084200	MTK	square meter
52084300	MTK	square meter
52084900	MTK	square meter
52085100	MTK	square meter
52085200	MTK	square meter
52085910	MTK	square meter
52085990	MTK	square meter
52091100	MTK	square meter
52091200	MTK	square meter
52091900	MTK	square meter
52092100	MTK	square meter
52092200	MTK	square meter
52092900	MTK	square meter
52093100	MTK	square meter
52093200	MTK	square meter
52093900	MTK	square meter
52094100	MTK	square meter
52094200	MTK	square meter
52094300	MTK	square meter
52094900	MTK	square meter
52095100	MTK	square meter
52095200	MTK	square meter
52095900	MTK	square meter
52101100	MTK	square meter
52101900	MTK	square meter
52102100	MTK	square meter
52102900	MTK	square meter
52103100	MTK	square meter
52103200	MTK	square meter
52103900	MTK	square meter
52104100	MTK	square meter
52104900	MTK	square meter
52105100	MTK	square meter
52105900	MTK	square meter
52111100	MTK	square meter
52111200	MTK	square meter
52111900	MTK	square meter
52112000	MTK	square meter
52113100	MTK	square meter
52113200	MTK	square meter
52113900	MTK	square meter
52114100	MTK	square meter
52114200	MTK	square meter
52114300	MTK	square meter
52114910	MTK	square meter
52114990	MTK	square meter
52115100	MTK	square meter
52115200	MTK	square meter
52115900	MTK	square meter
52121110	MTK	square meter
52121190	MTK	square meter
52121210	MTK	square meter
52121290	MTK	square meter
52121310	MTK	square meter
52121390	MTK	square meter
52121410	MTK	square meter
52121490	MTK	square meter
52121510	MTK	square meter
52121590	MTK	square meter
52122110	MTK	square meter
52122190	MTK	square meter
52122210	MTK	square meter
52122290	MTK	square meter
52122310	MTK	square meter
52122390	MTK	square meter
52122410	MTK	square meter
52122490	MTK	square meter
52122510	MTK	square meter
52122590	MTK	square meter
53091110	MTK	square meter
53091190	MTK	square meter
53091900	MTK	square meter
53092100	MTK	square meter
53092900	MTK	square meter
53101010	MTK	square meter
53101090	MTK	square meter
53109000	MTK	square meter
53110010	MTK	square meter
53110090	MTK	square meter
54071000	MTK	square meter
54072011	MTK	square meter
54072019	MTK	square meter
54072090	MTK	square meter
54073000	MTK	square meter
54074100	MTK	square meter
54074200	MTK	square meter
54074300	MTK	square meter
54074400	MTK	square meter
54075100	MTK	square meter
54075200	MTK	square meter
54075300	MTK	square meter
54075400	MTK	square meter
54076110	MTK	square meter
54076130	MTK	square meter
54076150	MTK	square meter
54076190	MTK	square meter
54076910	MTK	square meter
54076990	MTK	square meter
54077100	MTK	square meter
54077200	MTK	square meter
54077300	MTK	square meter
54077400	MTK	square meter
54078100	MTK	square meter
54078200	MTK	square meter
54078300	MTK	square meter
54078400	MTK	square meter
54079100	MTK	square meter
54079200	MTK	square meter
54079300	MTK	square meter
54079400	MTK	square meter
